Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Kalium,Klorid,Kalcium,Fluorid,Magnesium,Natrium,Vitamin B12,Vitamin B6,Vitamin C,Riboflavin,Niacin,Pantotensyra,Biotin,Krom,Fiber,Folsyra,Vitamin D,Vitamin E,Selen,Zink,Fosfor,Koppar,Järn,Mangan,Varav polyoler,Vitamin A,Tiamin,Citronsyra,url
"Vatten Kolsyrad Citron 1,5l ICA","11,90 kr","1.5L 7,93 kr/l exkl pant",,,,,,,,,5 mg,49 mg,65 mg,1.3 mg,15 mg,21 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-citron-1-5l-ica/2023849
"Äppeldryck med ciderkaraktär 1,5l ICA","19,90 kr","1.5L 13,27 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4ppeldryck-med-ciderkarakt%C3%A4r-1-5l-ica/1467263
Elevate 50cl Vitamin Well,"26,90 kr","0.5L 53,80 kr/l exkl pant",16 kcal,66 kJ,0 g,0 g,3.9 g,3.9 g,0 g,0.03 g,,,,,11.3 mg,,0.25 µg,,,,1.6 mg,0.48 mg,5 µg,,0 g,40 µg,1.5 µg,1.4 mg,5 µg,0.9 mg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/elevate-50cl-vitamin-well/2094024
"Läsk 1,5l Coca-Cola","27,90 kr","1.5L 18,60 kr/l exkl pant",42 kcal,180 kJ,0 g,0 g,10.6 g,10.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-1-5l-coca-cola/1264352
"Öl 3,5% 44cl Guinness","29,90 kr","0.44L 67,95 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-44cl-guinness/1399565
Vatten Kolsyrad Original 50cl Ramlösa,"15,90 kr","0.5L 31,80 kr/l exkl pant",,,,,,,,,2 mg,16 mg,3.5 mg,2.3 mg,0.8 mg,210 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-original-50cl-raml%C3%B6sa/1511573
Juice Apelsin Äpple & Mandarin 2l Bravo,"53,00 kr","2L 26,50 kr/l",45 kcal,180 kJ,0 g,0 g,9 g,9 g,0 g,0 g,,,,,,,,,40 mg,,,,,,0.3 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apelsin-%C3%A4pple-mandarin-2l-bravo/1364759
Vätskeersättning Skogsbär 90g Resorb,"70,00 kr","0.09kg 777,78 kr/kg",,,,,6.4 g,6.2 g,,,170 mg,190 mg,,,,180 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4tskeers%C3%A4ttning-skogsb%C3%A4r-90g-resorb/2100665
Fruktdryck Mandarin 1000ml Bravo,"26,90 kr","1L 26,90 kr/l",32 kcal,136 kJ,0 g,0 g,7.6 g,7.4 g,0 g,0 g,,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-mandarin-1000ml-bravo/2151623
"Läsk 1,5l Trocadero","24,90 kr","1.5L 16,60 kr/l exkl pant",40 kcal,170 kJ,0 g,0 g,9.6 g,9.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-1-5l-trocadero/1314166
Öl Alkoholfri 33cl Norrlands Guld,"10,90 kr","0.33L 33,03 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-alkoholfri-33cl-norrlands-guld/1490938
Läsk Pepsi Max Lime 50cl Pepsi,"18,90 kr","0.5L 37,80 kr/l exkl pant",1 kcal,3 kJ,0 g,0 g,0 g,0 g,0 g,0.03 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-pepsi-max-lime-50cl-pepsi/2017016
Te Earl grey 100-p Twinings,"121,00 kr","100 per frp 1,21 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/te-earl-grey-100-p-twinings/1487042
Energidryck Havet 33cl Latitude 65,"24,90 kr","0.33L 75,45 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,0.4 mg,,,1.2 mg,,15.2 µg,,,151.5 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-havet-33cl-latitude-65/2140203
Svarta vinbär måltidsdryck 2dl ICA,"8,90 kr","1L 8,90 kr/l drickklar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svarta-vinb%C3%A4r-m%C3%A5ltidsdryck-2dl-ica/1514891
Madame grey Svart te med bergamott & apelsin Ekologisk 20-p ICA I love eco,"26,90 kr","20 per frp 1,35 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/madame-grey-svart-te-med-bergamott-apelsin-ekologisk-20-p-ica-i-love-eco/1499508
"Öl 2,8% 50cl 6-p Burgenfels Öl","41,90 kr","3L 13,97 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-2-8-50cl-6-p-burgenfels-%C3%B6l/1425847
Kaffe Espresso Azera 100g Nescafé,"113,00 kr","0.1kg 1 130,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-espresso-azera-100g-nescaf%C3%A9/2003208
Rosévin Alkoholfri 75cl Carl Jung,"72,00 kr","0.75L 96,00 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ros%C3%A9vin-alkoholfri-75cl-carl-jung/1403055
Bryggkaffe Svea 500g Arvid Nordquist Classic,"103,00 kr","0.5kg 206,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-svea-500g-arvid-nordquist-classic/1004394
Snabbkaffe Lyx Mellanrost 200g Nescafé,"159,00 kr","0.2kg 795,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-lyx-mellanrost-200g-nescaf%C3%A9/2012630
Smoothie Fokus Äpple Päron Lime 300ml Brämhults,"36,90 kr","0.3L 123,00 kr/l exkl pant",47 kcal,197 kJ,0 g,0 g,11 g,10 g,0 g,0 g,,,,,30 mg,,0.22 µg,0.13 mg,,,,,,,0.4 g,27 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-fokus-%C3%A4pple-p%C3%A4ron-lime-300ml-br%C3%A4mhults/2091913
Vatten Kolsyrad Citron 50cl Loka,"15,90 kr","0.5L 31,80 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-citron-50cl-loka/1004434
Fruktdryck Äpple Apelsin Jordgubb 850ml God Morgon®,"47,90 kr","0.85L 56,35 kr/l exkl pant",42 kcal,177 kJ,0 g,0 g,9.8 g,9 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-%C3%A4pple-apelsin-jordgubb-850ml-god-morgon/2151836
"Vatten Kolsyrad Päron 1,5l Loka","15,90 kr","1.5L 10,60 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-p%C3%A4ron-1-5l-loka/1314178
Lättdryck Äppel Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,120 kJ,0 g,0 g,6.9 g,6.5 g,0 g,0 g,,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-%C3%A4ppel-koncentrat-2dl-bob/1023248
Kaffe Wanyama 500g Arvid Nordquist Classic,"103,00 kr","0.5kg 206,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-wanyama-500g-arvid-nordquist-classic/1499208
Frukostjuice Äpple Rabarber Jordgubb Ekologisk 850ml God Morgon®,"43,90 kr","0.85L 51,65 kr/l exkl pant",44 kcal,185 kJ,0 g,0 g,10 g,9.7 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/frukostjuice-%C3%A4pple-rabarber-jordgubb-ekologisk-850ml-god-morgon/2107371
Saft light Passion Rhubarb 1l Fun Light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/saft-light-passion-rhubarb-1l-fun-light/2150532
Grönt te Earl Grey 25-p Twinings,"43,90 kr","25 per frp 1,76 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%B6nt-te-earl-grey-25-p-twinings/1508111
"Öl 2,8% 50cl Pripps Blå","9,90 kr","0.5L 19,80 kr/l exkl pant",28 kcal,119 kJ,0 g,0 g,3 g,0 g,0.3 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-2-8-50cl-pripps-bl%C3%A5/1399571
"Öl Bayersk 2,8% 50cl 6-p Falcon","53,00 kr","3L 17,67 kr/l exkl pant",28 kcal,119 kJ,0 g,0 g,3 g,0 g,0.3 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-bayersk-2-8-50cl-6-p-falcon/1397707
"Öl Sir Taste a Lot 3,5% 6-pack Brutal Brewing","77,00 kr","1.98L 38,89 kr/l exkl pant",38 kcal,158 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-sir-taste-a-lot-3-5-6-pack-brutal-brewing/2110695
Mineralvatten 6-p 50cl San Pellegrino,"82,00 kr","3L 27,33 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mineralvatten-6-p-50cl-san-pellegrino/1473277
Energidryck Cosmic Vibe 355ml Celsius,"27,90 kr","0.355L 78,59 kr/l exkl pant",4 kcal,17 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,14 mg,,,,1.7 µg,0.6 mg,17 mg,0.5 mg,5.6 mg,2.8 mg,85 µg,14 µg,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-cosmic-vibe-355ml-celsius/2140202
Iskaffe Macchiato Sojabaserad 1l Alpro,"37,90 kr","1L 37,90 kr/l",61 kcal,257 kJ,1.7 g,0.3 g,8.2 g,6.2 g,3 g,0.14 g,,,120 mg,,,,0.38 µg,,,0.21 mg,,,,,0.5 g,,0.75 µg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-macchiato-sojabaserad-1l-alpro/2112741
"Juice Apelsin 1,75l God Morgon®","73,00 kr","1.75L 41,71 kr/l",43 kcal,183 kJ,0.5 g,0 g,8.8 g,8.8 g,0.7 g,0 g,,,,,,,,,20 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apelsin-1-75l-god-morgon/1403553
Grönt te Citron 25-p Twinings,"43,90 kr","25 per frp 1,76 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%B6nt-te-citron-25-p-twinings/1508110
Läsk Päronsoda 150cl ICA,"19,90 kr","1.5L 13,27 kr/l exkl pant",30 kcal,120 kJ,0 g,0 g,6.9 g,6.9 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-p%C3%A4ronsoda-150cl-ica/1467274
"Hazelnut Kaffesmaksättare 37,5cl Saturnus 1893","39,90 kr","0.375L 106,40 kr/l",250 kcal,1050 kJ,0.5 g,0.5 g,61.5 g,61.5 g,0.5 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hazelnut-kaffesmaks%C3%A4ttare-37-5cl-saturnus-1893/1520067
"Kaffefilter Nummer 2, 200p ICA Basic","25,90 kr","200 per frp 0,13 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffefilter-nummer-2-200p-ica-basic/2115937
Aloe vera dryck Original 50cl Nobe,"26,90 kr","0.5L 53,80 kr/l exkl pant",33 kcal,136 kJ,0 g,0 g,8 g,7.5 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/aloe-vera-dryck-original-50cl-nobe/1463715
Lightdryck Fläder Citron Sockerfri 80cl Zeroh!,"38,90 kr","8L 4,86 kr/l exkl pant",0.7 kcal,3.1 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-fl%C3%A4der-citron-sockerfri-80cl-zeroh/2051881
Öl Easy rider Alkoholfri 33cl Gotlands Bryggeri,"21,90 kr","0.33L 66,36 kr/l",20 kcal,90 kJ,0.5 g,0.5 g,4 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-easy-rider-alkoholfri-33cl-gotlands-bryggeri/1520274
Energidryck Monster Energy Lando Norris Zero Sugar 50cl Monster,"21,90 kr","0.5L 43,80 kr/l exkl pant",2 kcal,9 kJ,0 g,0 g,0.7 g,0 g,0 g,0.14 g,,,,,,,2.5 µg,0.8 mg,,0.7 mg,8.5 mg,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-monster-energy-lando-norris-zero-sugar-50cl-monster/2166486
Läsk Cherry 33cl Coca-Cola,"13,90 kr","0.33L 42,12 kr/l exkl pant",43 kcal,182 kJ,0 g,0 g,10.7 g,10.7 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cherry-33cl-coca-cola/2110622
Energidryck Purple Edition Skogsbär 25cl Red Bull,"17,90 kr","0.25L 71,60 kr/l exkl pant",44 kcal,188 kJ,0 g,0 g,10 g,10 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-purple-edition-skogsb%C3%A4r-25cl-red-bull/2125449
Energidryck Bad Apple 50cl Monster Energy,"21,90 kr","0.5L 43,80 kr/l exkl pant",36 kcal,153 kJ,0 g,0 g,9.1 g,8.2 g,0 g,0.17 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-bad-apple-50cl-monster-energy/2131503
"Öl Pistonhead 3,5% 33cl Brutal Brewing","16,90 kr","0.33L 51,21 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-pistonhead-3-5-33cl-brutal-brewing/1531782
Energidryck Astro Vibe Blue Razz 355ml Celsius,"27,90 kr","0.355L 78,59 kr/l exkl pant",3 kcal,12 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,1.7 µg,0.6 mg,17 mg,0.5 mg,5.6 mg,2.8 mg,42 µg,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-astro-vibe-blue-razz-355ml-celsius/2149188
Läsk Tonic Water Rabarber Ekologisk 20cl Ekobryggeriet,"22,90 kr","0.2L 114,50 kr/l",38 kcal,161 kJ,0.5 g,0.5 g,9 g,9 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-tonic-water-rabarber-ekologisk-20cl-ekobryggeriet/2010739
"Energidryck 47,3cl Red Bull","30,90 kr","0.473L 65,33 kr/l exkl pant",46 kcal,195 kJ,0 g,0 g,11 g,11 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-47-3cl-red-bull/1450707
Grönt Pyramidte 20-p Lipton,"25,90 kr","20 per frp 1,30 kr/st",4 kcal,17 kJ,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%B6nt-pyramidte-20-p-lipton/2128926
Läsk Citron Sockerfri 50cl Zingo,"18,90 kr","0.5L 37,80 kr/l exkl pant",3 kcal,12 kJ,0 g,0 g,0.5 g,0.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-citron-sockerfri-50cl-zingo/2110691
Smoothie Berrylicious 250ml Froosh,"20,00 kr","0.25L 80,00 kr/l",57 kcal,242 kJ,0.1 g,0 g,13 g,12 g,0.4 g,0 g,,,,,,,,,15 mg,,,,,,1.1 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-berrylicious-250ml-froosh/1274516
"Öl Pistonhead 3,5% 33cl 4-p Brutal Brewing","53,00 kr","1.32L 40,15 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-pistonhead-3-5-33cl-4-p-brutal-brewing/1531784
Zero Rasberry 50cl Vitamin Well,"26,90 kr","0.5L 53,80 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,1.3 g,0 g,0 g,0.01 g,,,,,11.3 mg,,0.25 µg,,,,1.6 mg,0.48 mg,5 µg,,,40 µg,1.5 µg,1.4 mg,5 µg,,,,,,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/zero-rasberry-50cl-vitamin-well/2131941
Juice Äpple Mandarin Morot Ekologisk 850ml God Morgon®,"43,90 kr","0.85L 51,65 kr/l exkl pant",44 kcal,184 kJ,0 g,0 g,10 g,9.5 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-%C3%A4pple-mandarin-morot-ekologisk-850ml-god-morgon/2018625
Himlagott te 125g Kobbs,"28,90 kr","0.125kg 231,20 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/himlagott-te-125g-kobbs/1334643
Fruktdryck Päron 50cl MER,"16,90 kr","0.5L 33,80 kr/l exkl pant",45 kcal,193 kJ,0 g,0 g,11 g,10.4 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-p%C3%A4ron-50cl-mer/1001463
Sparkling drink Limonata 33cl 6-p San Pellegrino,"81,00 kr","1.98L 40,91 kr/l exkl pant",35 kcal,147 kJ,0 g,0 g,8 g,8 g,0 g,0.001 g,,,,,,,,,,,,,,,0.1 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sparkling-drink-limonata-33cl-6-p-san-pellegrino/2094886
Kaffe Mellan 500g Arvid Nordquist,"103,00 kr","0.5kg 206,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-mellan-500g-arvid-nordquist/1004503
Apelsinjuice 1l Bravo,"39,90 kr","1L 39,90 kr/l",45 kcal,180 kJ,0 g,0 g,9 g,9 g,0.7 g,0 g,,,,,,,,,25 mg,,,,,,0.4 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/apelsinjuice-1l-bravo/1437715
Energidryck Focus cola 33cl Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",0 kcal,1 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,0.76 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-focus-cola-33cl-nocco/1507881
Fruktdryck Wild Strawberry 50cl Festis,"17,90 kr","0.5L 35,80 kr/l exkl pant",27 kcal,113 kJ,0 g,0 g,6.5 g,6.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-wild-strawberry-50cl-festis/2131865
Öl Alkoholfri Ekologisk 33cl Carlsberg,"16,90 kr","0.33L 51,21 kr/l",20 kcal,83 kJ,0 g,0 g,3.9 g,1.2 g,0.4 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-alkoholfri-ekologisk-33cl-carlsberg/1520303
Läsk Exotic Zero Sockerfri 33cl Fanta,"13,90 kr","0.33L 42,12 kr/l exkl pant",3 kcal,12 kJ,0 g,0 g,0.5 g,0.4 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-exotic-zero-sockerfri-33cl-fanta/2105867
Kaffebönor Mollbergs blandning 450g Zoegas,"121,00 kr","0.45kg 268,89 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffeb%C3%B6nor-mollbergs-blandning-450g-zoegas/1508087
Fruktdryck Äpple päron & jordgubb 20cl 3-p ICA I love eco,"18,90 kr","0.6L 31,50 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-%C3%A4pple-p%C3%A4ron-jordgubb-20cl-3-p-ica-i-love-eco/2036232
Lättdryck Citron & lime Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,120 kJ,0 g,0 g,6.5 g,6.4 g,0 g,0 g,,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-citron-lime-koncentrat-2dl-bob/1300067
Öl Alkoholfri Special Effects Lager 0.4% 33cl Brooklyn,"19,90 kr","0.33L 60,30 kr/l exkl pant",29 kcal,121 kJ,0 g,0 g,6.3 g,2.9 g,0.5 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-alkoholfri-special-effects-lager-0-4-33cl-brooklyn/2149219
Fruktdryck Fruit Crush Äpple Jordgubb Passionsfrukt 1000ml God Morgon®,"29,90 kr","1L 29,90 kr/l",29 kcal,121 kJ,0 g,0 g,6.9 g,6.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-fruit-crush-%C3%A4pple-jordgubb-passionsfrukt-1000ml-god-morgon/2166491
"Vatten Kolsyrat Jordgubb Granatäpple 1,5l Loka","15,90 kr","1.5L 10,60 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrat-jordgubb-granat%C3%A4pple-1-5l-loka/2073915
Kaffe Cappuccino Original 10p Gevalia,"30,90 kr","10 per frp 3,09 kr/st",385 kcal,1627 kJ,9.9 g,9.8 g,59 g,43 g,12 g,1.3 g,,,,,,,,,,,,,,,0.3 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-cappuccino-original-10p-gevalia/2099438
Kaffe Hela Bönor Skånerost 500g Zoegas,"137,00 kr","0.5kg 274,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-hela-b%C3%B6nor-sk%C3%A5nerost-500g-zoegas/2165934
Smoothie Kraft Tropiska frukter 850ml Brämhults,"62,00 kr","0.85L 72,94 kr/l exkl pant",53 kcal,230 kJ,0 g,0 g,12 g,11 g,0.7 g,0.01 g,,,,,,,,,80 mg,,,,,,1 g,,2.5 µg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-kraft-tropiska-frukter-850ml-br%C3%A4mhults/2062843
Juice Apelsin Ekologisk 850ml God Morgon®,"47,90 kr","0.85L 56,35 kr/l exkl pant",41 kcal,171 kJ,0 g,0 g,8.8 g,8.3 g,0.8 g,0 g,,,,,,,,,30 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apelsin-ekologisk-850ml-god-morgon/2018627
Smaksatt Vatten Triple Melon 80cl Zeroh,"37,90 kr","8L 4,74 kr/l exkl pant",0.9 kcal,3.9 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smaksatt-vatten-triple-melon-80cl-zeroh/2150534
Lightdryck Passionfruit Guava Sockerfri 80cl Zeroh!,"38,90 kr","8L 4,86 kr/l exkl pant",0.9 kcal,3.8 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-passionfruit-guava-sockerfri-80cl-zeroh/2079284
Kaffedryck Tripleshot Espresso Osötat 300ml Starbucks®,"30,90 kr","0.3L 103,00 kr/l",51 kcal,212 kJ,2.4 g,1.6 g,4.1 g,3.5 g,2.8 g,0.09 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffedryck-tripleshot-espresso-os%C3%B6tat-300ml-starbucks/2080503
